,Graph_Name,Best_RQAOA,Approx_Ratio,Gurobi_Energy,Energy_GAP
159,10d_27n_bimodaldist_8778165311088759308seed_7,110.0,0.9322033898305084,118.0,0.0
160,10d_27n_bimodaldist_9211327269408404599seed_8,102.0,0.9272727272727272,110.0,0.0
161,10d_27n_bimodaldist_9031891603504937177seed_9,102.0,0.8644067796610171,118.0,0.0
162,10d_27n_bimodaldist_5229480379801329742seed_21,110.0,0.9322033898305084,118.0,0.0
163,10d_28n_bimodaldist_4424409512620966896seed_0,124.0,0.9393939393939394,132.0,0.0
164,10d_28n_bimodaldist_3791304719041945069seed_1,124.0,0.9393939393939394,132.0,0.0
165,10d_28n_bimodaldist_2770422310502391118seed_7,108.0,0.9310344827586208,116.0,0.0
166,10d_28n_bimodaldist_6297158004619313895seed_8,108.0,0.9310344827586208,116.0,0.0
167,10d_28n_bimodaldist_5757766799865674721seed_9,108.0,0.8709677419354839,124.0,0.0
168,10d_28n_bimodaldist_8181489728020852155seed_10,124.0,0.9393939393939394,132.0,0.0
169,10d_28n_bimodaldist_7123055676135049807seed_11,108.0,0.9310344827586208,116.0,0.0
170,10d_28n_bimodaldist_7386461899203778068seed_12,108.0,0.9310344827586208,116.0,0.0
171,10d_28n_bimodaldist_1993217340208046770seed_14,116.0,0.935483870967742,124.0,0.0
172,10d_28n_bimodaldist_1634256983814407214seed_15,116.0,0.935483870967742,124.0,0.0
173,10d_28n_bimodaldist_6777645839572435548seed_16,108.0,0.9310344827586208,116.0,0.0
174,10d_28n_bimodaldist_5800626339105302676seed_20,124.0,0.9393939393939394,132.0,0.0
175,10d_28n_bimodaldist_6011118542904140197seed_24,108.0,0.8709677419354839,124.0,0.0
176,10d_29n_bimodaldist_3202193002687408185seed_1,122.0,0.9384615384615383,130.0,0.0
177,10d_29n_bimodaldist_3802268819219619041seed_2,122.0,0.9384615384615383,130.0,0.0
178,10d_29n_bimodaldist_1801215701896564578seed_4,114.0,0.9344262295081968,122.0,0.0
179,10d_29n_bimodaldist_6336226985296256638seed_9,122.0,0.9384615384615383,130.0,0.0
180,10d_29n_bimodaldist_5044316093192548305seed_10,122.0,0.9384615384615383,130.0,0.0
181,10d_29n_bimodaldist_2885245890114352036seed_14,114.0,0.9344262295081968,122.0,0.0
182,10d_29n_bimodaldist_2523861666773535762seed_16,114.0,0.9344262295081968,122.0,0.0
183,10d_29n_bimodaldist_5818820362160234932seed_18,122.0,0.9384615384615383,130.0,0.0
184,10d_29n_bimodaldist_6906151148450237013seed_23,106.0,0.9298245614035088,114.0,0.0
185,10d_30n_bimodaldist_3507523663005318011seed_6,116.0,0.935483870967742,124.0,0.0
186,10d_30n_bimodaldist_6559901617273730688seed_9,124.0,0.9393939393939394,132.0,0.0
187,10d_30n_bimodaldist_4013309717495883800seed_12,132.0,0.9428571428571428,140.0,0.0
188,10d_30n_bimodaldist_1652938608337914749seed_13,124.0,0.9393939393939394,132.0,0.0
189,11d_14n_bimodaldist_6225968230092375680seed_7,54.0,0.9310344827586208,58.0,0.0
190,11d_14n_bimodaldist_6606829306776288557seed_10,58.0,0.935483870967742,62.0,0.0
191,11d_14n_bimodaldist_3122260649489999552seed_14,54.0,0.8709677419354839,62.0,0.0
192,11d_14n_bimodaldist_4839615773321779151seed_19,54.0,0.8181818181818182,66.0,0.0
193,11d_16n_bimodaldist_555829557674073543seed_0,68.0,0.8947368421052632,76.0,0.0
194,11d_16n_bimodaldist_7754741715490238776seed_2,68.0,0.85,80.0,0.0
195,11d_16n_bimodaldist_5095045131151254275seed_16,64.0,0.8888888888888888,72.0,0.0
196,11d_18n_bimodaldist_5427422649340657716seed_2,78.0,0.9069767441860463,86.0,0.0
197,11d_18n_bimodaldist_1478046793588962528seed_13,74.0,0.9487179487179488,78.0,0.0
198,11d_18n_bimodaldist_2498930881461316132seed_20,78.0,0.7959183673469388,98.0,0.0
199,11d_20n_bimodaldist_2091730450721127389seed_3,84.0,0.9130434782608696,92.0,0.0
200,11d_20n_bimodaldist_788886817329739274seed_5,84.0,0.9130434782608696,92.0,0.0
201,11d_22n_bimodaldist_5636576939939599542seed_6,90.0,0.9183673469387756,98.0,0.0
202,11d_22n_bimodaldist_162273991027179322seed_10,86.0,0.9148936170212766,94.0,0.0
203,11d_22n_bimodaldist_6915596787440529115seed_12,98.0,0.8909090909090909,110.0,0.0
204,11d_22n_bimodaldist_336460529514854196seed_18,90.0,0.7894736842105263,114.0,0.0
205,11d_24n_bimodaldist_7270374430817036172seed_1,104.0,0.9285714285714286,112.0,0.0
206,11d_24n_bimodaldist_6674619477871613619seed_6,100.0,0.925925925925926,108.0,0.0
207,11d_24n_bimodaldist_4338897882959898738seed_12,96.0,0.8571428571428571,112.0,0.0
208,11d_26n_bimodaldist_3903579470740718438seed_4,106.0,0.9298245614035088,114.0,0.0
209,11d_26n_bimodaldist_6063208260580695904seed_6,106.0,0.8688524590163934,122.0,0.0
210,11d_26n_bimodaldist_522004098405747027seed_15,110.0,0.9016393442622952,122.0,0.0
211,11d_26n_bimodaldist_8276906156957232253seed_16,118.0,0.9365079365079364,126.0,0.0
212,11d_26n_bimodaldist_8846043813634570763seed_18,114.0,0.9344262295081968,122.0,0.0
213,11d_28n_bimodaldist_6284402285493465849seed_3,128.0,0.9411764705882352,136.0,0.0
214,11d_28n_bimodaldist_26114354751908697seed_21,120.0,0.9375,128.0,0.0
215,11d_30n_bimodaldist_8636752720232468695seed_5,122.0,0.9384615384615383,130.0,0.0
216,11d_30n_bimodaldist_7607728053605616919seed_7,126.0,0.9402985074626866,134.0,0.0
217,11d_30n_bimodaldist_1684278679056243614seed_9,130.0,0.9154929577464788,142.0,0.0
218,11d_30n_bimodaldist_1539225703451564152seed_10,122.0,0.9384615384615383,130.0,0.0
219,11d_30n_bimodaldist_3152611778203598496seed_13,134.0,0.943661971830986,142.0,0.0
220,12d_14n_bimodaldist_2592707687675737745seed_13,64.0,0.8888888888888888,72.0,0.0
221,12d_14n_bimodaldist_3670226058045751880seed_20,56.0,0.875,64.0,0.0
222,12d_15n_bimodaldist_846645314829882407seed_12,56.0,0.875,64.0,0.0
223,12d_16n_bimodaldist_9013783036330694644seed_4,68.0,0.8947368421052632,76.0,0.0
224,12d_16n_bimodaldist_6856812460272639162seed_7,60.0,0.8823529411764706,68.0,0.0
225,12d_16n_bimodaldist_5914401046789363299seed_22,68.0,0.8947368421052632,76.0,0.0
226,12d_16n_bimodaldist_8905249107650350677seed_23,60.0,0.8823529411764706,68.0,0.0
227,12d_17n_bimodaldist_4889708571756106202seed_23,64.0,0.8888888888888888,72.0,0.0
228,12d_18n_bimodaldist_2184924575497157842seed_2,68.0,0.8947368421052632,76.0,0.0
229,12d_18n_bimodaldist_8864954689603046605seed_5,84.0,0.9130434782608696,92.0,0.0
230,12d_18n_bimodaldist_8579053722759392946seed_12,84.0,0.9130434782608696,92.0,0.0
231,12d_19n_bimodaldist_5965440988360912577seed_11,88.0,0.9166666666666666,96.0,0.0
232,12d_19n_bimodaldist_5506380999649904425seed_17,80.0,0.9090909090909092,88.0,0.0
233,12d_19n_bimodaldist_7260807168006259000seed_23,88.0,0.9166666666666666,96.0,0.0
234,12d_20n_bimodaldist_3599220590220214206seed_3,88.0,0.7857142857142857,112.0,0.0
235,12d_20n_bimodaldist_6652304848655220753seed_7,88.0,0.9166666666666666,96.0,0.0
236,12d_20n_bimodaldist_8500342310243170096seed_14,80.0,0.9090909090909092,88.0,0.0
237,12d_20n_bimodaldist_3700995920432690669seed_16,80.0,0.9090909090909092,88.0,0.0
238,12d_20n_bimodaldist_1485185885920121488seed_23,72.0,0.8181818181818182,88.0,0.0
239,12d_20n_bimodaldist_3466611634613189267seed_24,96.0,0.9230769230769232,104.0,0.0
240,12d_21n_bimodaldist_8705800047557223936seed_11,104.0,0.9285714285714286,112.0,0.0
241,12d_21n_bimodaldist_3854560353752137049seed_13,88.0,0.8461538461538461,104.0,0.0
242,12d_21n_bimodaldist_8560598900973944863seed_18,96.0,0.9230769230769232,104.0,0.0
243,12d_21n_bimodaldist_8606752101527733551seed_22,104.0,0.9285714285714286,112.0,0.0
244,12d_22n_bimodaldist_2858065237124242705seed_0,92.0,0.92,100.0,0.0
245,12d_22n_bimodaldist_7486007741692112570seed_3,108.0,0.9310344827586208,116.0,0.0
246,12d_22n_bimodaldist_6222915525021081699seed_12,84.0,0.9130434782608696,92.0,0.0
247,12d_22n_bimodaldist_6528035658763240548seed_14,92.0,0.92,100.0,0.0
248,12d_22n_bimodaldist_5282687174264350044seed_22,92.0,0.92,100.0,0.0
249,12d_23n_bimodaldist_8012386658215865286seed_7,112.0,0.9333333333333332,120.0,0.0
250,12d_24n_bimodaldist_7048315976002419367seed_3,104.0,0.9285714285714286,112.0,0.0
251,12d_24n_bimodaldist_4415051680587452750seed_8,112.0,0.9333333333333332,120.0,0.0
252,12d_24n_bimodaldist_6524680587811469598seed_11,112.0,0.9333333333333332,120.0,0.0
253,12d_24n_bimodaldist_9122975481528339184seed_12,96.0,0.9230769230769232,104.0,0.0
254,12d_24n_bimodaldist_5299028318190452597seed_20,104.0,0.9285714285714286,112.0,0.0
255,12d_25n_bimodaldist_3643631514909227603seed_1,116.0,0.8787878787878788,132.0,0.0
256,12d_25n_bimodaldist_8326599784630671819seed_3,116.0,0.935483870967742,124.0,0.0
257,12d_25n_bimodaldist_4125433980797800821seed_13,108.0,0.9310344827586208,116.0,0.0
258,12d_25n_bimodaldist_3612760467649702663seed_20,100.0,0.925925925925926,108.0,0.0
259,12d_25n_bimodaldist_3010052936080097720seed_21,124.0,0.9393939393939394,132.0,0.0
260,12d_25n_bimodaldist_7000181524312510792seed_24,100.0,0.8620689655172413,116.0,0.0
261,12d_26n_bimodaldist_1673112612860314610seed_7,116.0,0.935483870967742,124.0,0.0
262,12d_26n_bimodaldist_9062514722201167244seed_12,108.0,0.9310344827586208,116.0,0.0
263,12d_26n_bimodaldist_2182521743039406643seed_13,108.0,0.9310344827586208,116.0,0.0
264,12d_26n_bimodaldist_1366635403736222932seed_14,116.0,0.935483870967742,124.0,0.0
